driverId,avg_position,std_dev_position,total_points,total_wins,races_participated,forename,surname
1,5.019662921348314,5.5510086279401865,50821.5,1032.0,356,lewis,hamilton
830,5.645933014354067,5.9975151277032905,32849.5,709.0,209,max,verstappen
