year,constructor_name,points
2015,mercedes,703.0
2015,ferrari,428.0
2015,williams,257.0
2015,red bull,187.0
2015,force india,136.0
2015,lotus f1,78.0
2015,mclaren,65.0
2015,sauber,36.0
2015,toro rosso,29.0
2015,manor marussia,0.0
