name,wins,podiums,total,total_pts,Win_ratio,podiums_ratio
politoys,0,0,1,0,0.0,0.0
connew,0,0,1,0,0.0,0.0
march-alfa romeo,0,0,10,0,0.0,0.0
lotus-pratt &amp; whitney,0,0,3,0,0.0,0.0
bellasi,0,0,6,0,0.0,0.0
de tomaso,0,0,14,0,0.0,0.0
mclaren-alfa romeo,0,0,11,0,0.0,0.0
brm-ford,0,0,1,0,0.0,0.0
eagle-climax,0,0,13,0,0.0,0.0
mclaren-brm,0,0,14,0,0.0,0.0
lds,0,0,4,0,0.0,0.0
lds-climax,0,0,2,0,0.0,0.0
cooper-ats,0,0,1,0,0.0,0.0
protos,0,0,2,0,0.0,0.0
mclaren-serenissima,0,0,2,0,0.0,0.0
cooper-ferrari,0,0,2,0,0.0,0.0
shannon,0,0,1,0,0.0,0.0
lds-alfa romeo,0,0,2,0,0.0,0.0
cooper-ford,0,0,2,0,0.0,0.0
re,0,0,1,0,0.0,0.0
brp,0,0,19,0,0.0,0.0
scirocco,0,0,17,0,0.0,0.0
derrington,0,0,1,0,0.0,0.0
gilby,0,0,7,0,0.0,0.0
lotus-borgward,0,0,2,0,0.0,0.0
de tomaso-ferrari,0,0,1,0,0.0,0.0
lotus-maserati,0,0,2,0,0.0,0.0
stebro,0,0,2,0,0.0,0.0
emeryson,0,0,11,0,0.0,0.0
de tomaso-alfa romeo,0,0,3,0,0.0,0.0
enb,0,0,1,0,0.0,0.0
de tomaso-osca,0,0,3,0,0.0,0.0
cooper-alfa romeo,0,0,1,0,0.0,0.0
jbw,0,0,6,0,0.0,0.0
ferguson,0,0,2,0,0.0,0.0
mbm,0,0,1,0,0.0,0.0
behra-porsche,0,0,2,0,0.0,0.0
scarab,0,0,9,0,0.0,0.0
cooper-castellotti,0,0,6,0,0.0,0.0
trevis,0,0,6,0,0.0,0.0
meskowski,0,0,2,0,0.0,0.0
christensen,0,0,2,0,0.0,0.0
ewing,0,0,3,0,0.0,0.0
moore,0,0,3,0,0.0,0.0
dunn,0,0,3,0,0.0,0.0
elder,0,0,1,0,0.0,0.0
sutton,0,0,1,0,0.0,0.0
cooper-borgward,0,0,3,0,0.0,0.0
fry,0,0,1,0,0.0,0.0
cooper-osca,0,0,1,0,0.0,0.0
tec-mec,0,0,1,0,0.0,0.0
osca,0,0,8,0,0.0,0.0
stevens,0,0,10,0,0.0,0.0
bugatti,0,0,1,0,0.0,0.0
hwm,0,0,47,0,0.0,0.0
schroeder,0,0,8,0,0.0,0.0
pawl,0,0,4,0,0.0,0.0
pankratz,0,0,2,0,0.0,0.0
arzani-volpini,0,0,1,0,0.0,0.0
nichels,0,0,4,0,0.0,0.0
bromme,0,0,5,0,0.0,0.0
klenk,0,0,1,0,0.0,0.0
simca,0,0,29,0,0.0,0.0
turner,0,0,1,0,0.0,0.0
del roy,0,0,1,0,0.0,0.0
veritas,0,0,18,0,0.0,0.0
bmw,0,0,6,0,0.0,0.0
emw,0,0,1,0,0.0,0.0
afm,0,0,7,0,0.0,0.0
frazer nash,0,0,4,0,0.0,0.0
sherman,0,0,2,0,0.0,0.0
aston butterworth,0,0,4,0,0.0,0.0
era,0,0,13,0,0.0,0.0
alta,0,0,6,0,0.0,0.0
cisitalia,0,0,1,0,0.0,0.0
hall,0,0,1,0,0.0,0.0
marchese,0,0,2,0,0.0,0.0
langley,0,0,1,0,0.0,0.0
rae,0,0,1,0,0.0,0.0
olson,0,0,1,0,0.0,0.0
wetteroth,0,0,1,0,0.0,0.0
snowberger,0,0,1,0,0.0,0.0
adams,0,0,2,0,0.0,0.0
milano,0,0,1,0,0.0,0.0
lotus,0,0,76,0,0.0,0.0
hrt,0,0,116,0,0.0,0.0
virgin,0,0,76,0,0.0,0.0
marussia,0,0,109,0,0.0,0.0
caterham,0,0,112,0,0.0,0.0
manor marussia,0,0,78,0,0.0,0.0
haas f1 team,0,0,380,0,0.0,0.0
rb f1 team,0,0,48,0,0.0,0.0
