resultId,raceId,driverId,constructorId,number,grid,positionText,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapSpeed,status,fastestlaptime_ms
72,21,18,11,16,13,6,6,3.0,66,5952061,66,5,203.489,Finished,82353
73,21,6,3,8,12,7,7,2.0,66,5957295,48,15,200.576,Finished,83549
74,21,15,7,11,8,8,8,1.0,66,5958486,45,10,202.494,Finished,82758
75,21,2,2,3,9,9,9,0.0,66,5962124,21,7,203.080,Finished,82519
76,21,21,10,21,19,10,10,0.0,65,\N,40,14,200.841,+1 Lap,83439
77,21,10,7,12,14,11,11,0.0,65,\N,57,12,201.886,+1 Lap,83007
78,21,14,9,9,17,12,12,0.0,65,\N,57,11,202.288,+1 Lap,82842
79,21,11,8,18,22,13,13,0.0,65,\N,34,17,198.045,+1 Lap,84617
80,21,3,3,7,15,R,14,0.0,41,\N,20,13,201.130,Engine,83319
81,21,4,4,5,2,R,15,0.0,34,\N,15,9,202.677,Engine,82683
82,21,22,11,17,11,R,16,0.0,34,\N,21,16,199.837,Collision,83858
83,21,5,1,23,6,R,17,0.0,21,\N,19,6,203.243,Accident,82453
84,21,19,8,19,21,R,18,0.0,8,\N,6,20,192.922,Radiator,86864
85,21,7,5,14,16,R,19,0.0,7,\N,6,19,194.862,Collision,85999
86,21,12,4,6,10,R,20,0.0,6,\N,6,18,196.128,Collision,85444
87,21,16,10,20,20,R,21,0.0,0,\N,\N,\N,\N,Collision,-100
88,21,20,5,15,18,R,22,0.0,0,\N,\N,\N,\N,Collision,-100
89,22,13,6,2,1,1,1,10.0,58,5209451,16,3,221.734,Finished,86666
90,22,1,1,22,3,2,2,8.0,58,5213230,31,2,222.085,Finished,86529
91,22,8,6,1,4,3,3,6.0,58,5213722,20,1,222.144,Finished,86506
92,22,9,2,4,5,4,4,5.0,58,5231396,17,4,221.442,Finished,86780
93,22,2,2,3,9,5,5,4.0,58,5248192,20,5,220.328,Finished,87219
94,22,4,4,5,7,6,6,3.0,58,5263175,57,6,220.174,Finished,87280
95,22,17,9,10,6,7,7,2.0,58,5273680,14,7,219.294,Finished,87630
96,22,3,3,7,11,8,8,1.0,58,5280857,55,9,218.882,Finished,87795
97,22,14,9,9,10,9,9,0.0,58,5284721,41,12,218.457,Finished,87966
98,22,15,7,11,8,10,10,0.0,58,5285795,52,11,218.556,Finished,87926
